Timestamp;TimeFormatted;UUID/Namespace;Major/Instance;Minor;TX;RSSI;Distance
1494831054868;2017-05-15 13:50:54;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-93;3.524562516362752
1494831057328;2017-05-15 13:50:57;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-97;5.036518817354796
1494831063273;2017-05-15 13:51:03;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-97;5.036518817354796
1494831063274;2017-05-15 13:51:03;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-94;4.156744509758769
1494831064471;2017-05-15 13:51:04;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-96;4.878285220640251
1494831064471;2017-05-15 13:51:04;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-94;4.156744509758769
1494831066784;2017-05-15 13:51:06;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-98;4.156744509758769
1494831069153;2017-05-15 13:51:09;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-99;4.724853432205948
1494831070351;2017-05-15 13:51:10;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-102;5.904156771169259
1494831095224;2017-05-15 13:51:35;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-99;5.719997038882001
1494831095227;2017-05-15 13:51:35;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-97;5.036518817354796
1494831096428;2017-05-15 13:51:36;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-94;4.878285220640251
1494831097594;2017-05-15 13:51:37;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-96;4.724853432205948
1494831101163;2017-05-15 13:51:41;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-96;4.724853432205948
1494831180573;2017-05-15 13:53:00;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-99;5.719997038882001
1494831186492;2017-05-15 13:53:06;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-101;6.0939035955235274
1494831196011;2017-05-15 13:53:16;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-101;6.490722478012838
1494831229136;2017-05-15 13:53:49;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-94;4.156744509758769
1494831235020;2017-05-15 13:53:55;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-97;5.036518817354796
1494831236205;2017-05-15 13:53:56;cb10023f-a318-3394-4199-a8730c7c1aec;3;18202;-69;-97;5.036518817354796
1494831238581;2017-05-15 13:53:58;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-100;6.0939035955235274
1494831242236;2017-05-15 13:54:02;cb10023f-a318-3394-4199-a8730c7c1aec;3;18202;-69;-97;5.036518817354796
1494831245762;2017-05-15 13:54:05;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-99;5.904156771169259
1494831245763;2017-05-15 13:54:05;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-96;4.878285220640251
1494831246916;2017-05-15 13:54:06;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-99;5.036518817354796
1494831249352;2017-05-15 13:54:09;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-98;5.719997038882001
1494831249352;2017-05-15 13:54:09;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-96;5.036518817354796
1494831252872;2017-05-15 13:54:12;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-96;4.956794080011838
1494831252872;2017-05-15 13:54:12;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-99;5.719997038882001
