Timestamp;TimeFormatted;UUID/Namespace;Major/Instance;Minor;TX;RSSI;Distance
1494830500970;2017-05-15 13:41:40;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-77;1.7841923850082138
1494830502261;2017-05-15 13:41:42;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-96;4.724853432205948
1494830502261;2017-05-15 13:41:42;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-93;3.8984490417185125
1494830502262;2017-05-15 13:41:42;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-92;3.656154548914359
1494830502262;2017-05-15 13:41:42;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-91;3.4290277186438685
1494830503443;2017-05-15 13:41:43;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-93;3.8984490417185125
1494830503443;2017-05-15 13:41:43;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-88;3.1150398219775157
1494830503444;2017-05-15 13:41:43;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-92;4.156744509758769
1494830503444;2017-05-15 13:41:43;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-89;3.4290277186438685
1494830503444;2017-05-15 13:41:43;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-89;3.656154548914359
1494830504692;2017-05-15 13:41:44;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.775354588870523
1494830504693;2017-05-15 13:41:44;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-87;2.8308384048853146
1494830504693;2017-05-15 13:41:44;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-90;3.2162702356470128
1494830505844;2017-05-15 13:41:45;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.656154548914359
1494830505844;2017-05-15 13:41:45;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-89;2.92241335136673
1494830505845;2017-05-15 13:41:45;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-92;3.4290277186438685
1494830507050;2017-05-15 13:41:47;cb10023f-a318-3394-4199-a8730c7c1aec;3;18202;-69;-98;5.367891426313941
1494830507050;2017-05-15 13:41:47;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.5788004419883492
1494830507050;2017-05-15 13:41:47;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-91;3.0820360278026575
1494830507051;2017-05-15 13:41:47;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-95;4.431910396289597
1494830507051;2017-05-15 13:41:47;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-91;3.4290277186438685
1494830507051;2017-05-15 13:41:47;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-96;3.8984490417185125
1494830508301;2017-05-15 13:41:48;cb10023f-a318-3394-4199-a8730c7c1aec;3;18202;-69;-92;4.431910396289597
1494830508301;2017-05-15 13:41:48;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-91;3.175375207007825
1494830508301;2017-05-15 13:41:48;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-96;4.576101611210365
1494830508302;2017-05-15 13:41:48;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-88;3.3565503997531048
1494830508302;2017-05-15 13:41:48;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-87;3.5788004419883492
1494830509541;2017-05-15 13:41:49;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.4290277186438685
1494830509541;2017-05-15 13:41:49;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-90;3.187004329591895
1494830509541;2017-05-15 13:41:49;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-93;4.223919606721364
1494830509541;2017-05-15 13:41:49;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-92;3.3977722276282387
1494830509541;2017-05-15 13:41:49;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-98;3.8364084870337978
1494830510570;2017-05-15 13:41:50;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-89;3.3565503997531048
1494830510570;2017-05-15 13:41:50;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-90;3.2162702356470128
1494830510570;2017-05-15 13:41:50;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-93;4.156744509758769
1494830510571;2017-05-15 13:41:50;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-90;3.3925913246359345
1494830510571;2017-05-15 13:41:50;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-95;3.9488007626635646
1494830511750;2017-05-15 13:41:51;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-88;3.3057422958528218
1494830511751;2017-05-15 13:41:51;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-89;3.190647461185975
1494830511751;2017-05-15 13:41:51;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-97;4.246547982632706
1494830511751;2017-05-15 13:41:51;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-91;3.3977722276282387
1494830512932;2017-05-15 13:41:52;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.2856406746373983
