Timestamp;TimeFormatted;UUID/Namespace;Major/Instance;Minor;TX;RSSI;Distance
1494830047975;2017-05-15 13:34:07;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-73;1.1725697807584357
1494830047975;2017-05-15 13:34:07;cb10023f-a318-3394-4199-a8730c7c1aec;3;18202;-69;-80;1.7262520508803691
1494830047976;2017-05-15 13:34:07;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-70;1.01510433267753
1494830047976;2017-05-15 13:34:07;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-71;1.0632828532751697
1494830049155;2017-05-15 13:34:09;cb10023f-a318-3394-4199-a8730c7c1aec;3;18202;-69;-74;1.4519165963474192
1494830049155;2017-05-15 13:34:09;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-74;1.6278136563038017
1494830049156;2017-05-15 13:34:09;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-76;1.2028097546346364
1494830049156;2017-05-15 13:34:09;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-71;1.1156708156403228
1494830049156;2017-05-15 13:34:09;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-81;1.336687076111526
1494830049156;2017-05-15 13:34:09;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-76;2.200910994575344
1494830050341;2017-05-15 13:34:10;cb10023f-a318-3394-4199-a8730c7c1aec;3;18202;-69;-74;1.234298302989595
1494830050342;2017-05-15 13:34:10;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-86;2.200910994575344
1494830050342;2017-05-15 13:34:10;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-77;1.4120010991181826
1494830050342;2017-05-15 13:34:10;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-73;1.1725697807584357
1494830051552;2017-05-15 13:34:11;cb10023f-a318-3394-4199-a8730c7c1aec;3;18202;-69;-81;1.4793969646829646
1494830051553;2017-05-15 13:34:11;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-80;1.1725697807584357
1494830051553;2017-05-15 13:34:11;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-82;1.8322873549242404
1494830052741;2017-05-15 13:34:12;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;2.3423939997115713
1494830052741;2017-05-15 13:34:12;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-84;1.3246994606301596
1494830052741;2017-05-15 13:34:12;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-74;1.4934037941825435
1494830052741;2017-05-15 13:34:12;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-75;1.3736074524759516
1494830053881;2017-05-15 13:34:13;cb10023f-a318-3394-4199-a8730c7c1aec;3;18202;-69;-82;1.5586937678726678
1494830053881;2017-05-15 13:34:13;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-79;2.0690987996567225
